번호,책제목,작가,출판사
170,도서관에 개구리를 데려갔어요,에릭 킴멜,보물창고
171,잔소리 없는 날,안네마리 노르덴,보물창고
172,오늘이,서정오,봄봄
173,이가 빠지면 지붕 위로 던져요,셀비 빌러,북뱅크
174,병아리 날다,꼬나,북스
175,우리 반 선플 특공대,고정욱,북스토리아이
176,버나드 교 : 균형잡기의 미학,푸른나무,브레인하우스
177,개구리와 두꺼비와 함께,아놀드 로벨,비룡소
178,개구리와 두꺼비의 하루하루,아놀드 로벨,비룡소
179,고릴라,앤서니 브라운,비룡소
180,"너, 누굴 닮았니?",로리 뮈라이유,비룡소
181,눈사람 아저씨,레이먼드 브릭스,비룡소
182,도대체 넌 뭐가 될 거니?,황선미,비룡소
183,마법의 시간여행 - 하늘을 나는 북극곰,메리 폽 어스번,비룡소
184,말놀이 나라 쫑쫑,허은미,비룡소
185,멋대로 학교,미하엘 엔데,비룡소
186,물덩이 아저씨,레이먼드 브릭스,비룡소
187,바다는 눈물이 필요 없다,하이타니 겐지로,비룡소
188,신기한 스쿨버스,조애너콜,비룡소
189,엉뚱이 소피의 못 말리는 패션,수지 모건스턴,비룡소
190,"우당탕탕, 할머니 귀가 커졌어요",엘리자베트 슈티메르트,비룡소
191,우리를 둘러싼 공기,엘레오노레슈미오,비룡소
192,종이 봉지 공주,로버트 문치,비룡소
193,칠판 앞에 나가기 싫어,다니엘포세트,비룡소
194,코끼리 목욕통,정해왕,비룡소
195,파스칼의 실수,플로랑스 세이보스,비룡소
196,항아리 속 이야기,안노 마사치이로,비룡소
197,신기한 스쿨버스-우주탐험편,20세기폭스사,비엠코리아
198,가방 들어주는 아이,고정욱,사계절
199,가슴 뭉클한 옛날 이야기,김장성,사계절
200,꽃할머니,권윤덕,사계절
201,내 이름은 나답게,김향이,사계절
202,누가 내 머리에 똥 쌌어?,베르너 홀츠 바르트,사계절
203,동화책을 먹은 바둑이,노경실,사계절
204,보리타작 하는 날,윤기현,사계절
205,빈 화분,데미,사계절
206,선생님은 모르는 게 너무 많아,강무홍,사계절
207,"아빠, 꽃밭 만들러 가요",송언,사계절
208,암소 로자의 살빼기 작전,크리스텔 데무아노,사계절
209,재치가 배꼽잡는 이야기,조호상,사계절
210,초등학생이 읽는 지질학의 첫걸음,프랑소와 미셸,사계절
211,피아노 치는 지겨워,데미,사계절
212,혼자서도 할 수 있어요,노성두,사계절
213,화요일의 두꺼비,러셀 에릭슨,사계절
214,나답게와 나고은,김향이,사계절 출판사
215,개(알고 싶어요),테아 로스,산하
216,"겨레의 인걸 100인 1, 2, 3",윤승운,산하
217,내가 이 세상을 만들거야,최향숙,산하
218,다 타고난 재주가 있지요,이재복,산하
219,동글이와댕글이,홍윤희,산하
220,오줌 싼 거 일기로 쓸 수 있어?,강아름,산하
221,음악은 어디에서 오는 걸까요?,도미틸 드 비에나시스,산하
222,이 고집쟁이 좀 보세요,이재복,산하
223,작다고 깔보면 큰코 다쳐요,이재복,산하
224,하느님의 눈물,권정생,산하
225,뿔라에 오신 예수님,남미란,살림
226,또 다른 내 동생,강민숙,삼성당
